1,73
1,72
1,92
1,71
1,72
1,75
1,74
1,72
1,72
1,72
2,62
2,63
2,60
2,61
2,62
2,68
2,62
2,67
2,67
2,66
3,57
3,61
3,71
3,58
3,57
3,58
3,62
3,63
3,59
3,61
4,99
4,88
4,76
4,83
4,90
4,86
4,79
4,83
4,84
4,88
5,57
5,56
5,53
5,54
5,47
5,50
5,57
5,69
5,54
5,51
6,92
6,88
6,89
6,94
6,103
6,110
6,92
6,87
6,96
6,89
7,112
7,116
7,124
7,114
7,137
7,117
7,119
7,108
7,129
7,134
8,57
8,106
8,138
8,141
8,105
8,138
8,108
8,132
8,145
8,144
9,77
9,53
9,105
9,77
9,69
9,73
9,95
9,57
9,83
9,83
10,89
10,146
10,133
10,105
10,95
10,88
10,136
10,82
10,150
10,91
11,187
11,120
11,114
11,132
11,143
11,141
11,132
11,123
11,184
11,127
12,214
12,194
12,156
12,224
12,150
12,194
12,149
12,145
12,144
12,215
