1,10000,0
1,100000,1
1,1000000,2
1,10000000,19
2,10000,7
2,100000,7
2,1000000,22
2,10000000,211
4,10000,8
4,100000,10
4,1000000,33
4,10000000,481
6,10000,14
6,100000,12
6,1000000,44
6,10000000,489
8,10000,15
8,100000,16
8,1000000,70
8,10000000,1218
10,10000,16
10,100000,37
10,1000000,75
10,10000000,864
